"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Bacteroides_uniformis","35.71363636363637","0.502431292","interacts with","Bacteroides_uniformis (interacts with) Bacteroides_massiliensis","false","interacts with","Bacteroides_uniformis (interacts with) Bacteroides_massiliensis"
"Bacteroides_uniformis","18.854761904761904","0.409053659","interacts with","Bacteroides_uniformis (interacts with) Bacteroides_faecichinchillae","false","interacts with","Bacteroides_uniformis (interacts with) Bacteroides_faecichinchillae"
"Muribaculum_intestinale","36.97738095238096","-0.475008949","interacts with","Muribaculum_intestinale (interacts with) Bacteroides_faecichinchillae","false","interacts with","Muribaculum_intestinale (interacts with) Bacteroides_faecichinchillae"
"Bacteroides_thetaiotaomicron","63.29051226551226","-0.460583139","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bifidobacterium_animalis","false","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bifidobacterium_animalis"
"Bacteroides_thetaiotaomicron","10.865151515151513","0.767491385","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_stercorirosoris","false","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_stercorirosoris"
"Bacteroides_thetaiotaomicron","30.4890756302521","-0.532271833","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_sartorii","false","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_sartorii"
"Bacteroides_thetaiotaomicron","38.08311688311688","-0.542894398","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_massiliensis","false","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_massiliensis"
"Bacteroides_thetaiotaomicron","22.250980392156862","-0.532271833","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_faecichinchillae","false","interacts with","Bacteroides_thetaiotaomicron (interacts with) Bacteroides_faecichinchillae"
"Bacteroides_caecimuris","37.46139971139971","-0.422024472","interacts with","Bacteroides_caecimuris (interacts with) Bifidobacterium_animalis","false","interacts with","Bacteroides_caecimuris (interacts with) Bifidobacterium_animalis"
"Anaerotruncus_sp_G3_2012","30.31919191919192","0.448534062","interacts with","Anaerotruncus_sp_G3_2012 (interacts with) Oscillibacter_sp_1_3","false","interacts with","Anaerotruncus_sp_G3_2012 (interacts with) Oscillibacter_sp_1_3"
"Anaerotruncus_sp_G3_2012","41.385858585858585","0.484610185","interacts with","Anaerotruncus_sp_G3_2012 (interacts with) Lachnospiraceae_bacterium_3_2","false","interacts with","Anaerotruncus_sp_G3_2012 (interacts with) Lachnospiraceae_bacterium_3_2"
"Parabacteroides_distasonis","19.592063492063488","0.423851377","interacts with","Parabacteroides_distasonis (interacts with) Muribaculum_intestinale","false","interacts with","Parabacteroides_distasonis (interacts with) Muribaculum_intestinale"
"Parabacteroides_distasonis","20.306493506493506","-0.756618465","interacts with","Parabacteroides_distasonis (interacts with) Bifidobacterium_animalis","false","interacts with","Parabacteroides_distasonis (interacts with) Bifidobacterium_animalis"
"Parabacteroides_distasonis","15.482142857142856","0.684849996","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_thetaiotaomicron"
"Parabacteroides_distasonis","28.93174603174603","0.516697559","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_stercorirosoris","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_stercorirosoris"
"Parabacteroides_distasonis","37.23131949749596","-0.400872833","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_sartorii","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_sartorii"
"Parabacteroides_distasonis","11.77439309056956","0.555370147","interacts with","Parabacteroides_distasonis (interacts with) Alistipes_timonensis","false","interacts with","Parabacteroides_distasonis (interacts with) Alistipes_timonensis"
"Lactobacillus_reuteri","33.72669552669552","-0.416090542","interacts with","Lactobacillus_reuteri (interacts with) Parabacteroides_goldsteinii","false","interacts with","Lactobacillus_reuteri (interacts with) Parabacteroides_goldsteinii"
"Lactobacillus_reuteri","15.730303030303029","-0.533050739","interacts with","Lactobacillus_reuteri (interacts with) Parabacteroides_distasonis","false","interacts with","Lactobacillus_reuteri (interacts with) Parabacteroides_distasonis"
"Lactobacillus_reuteri","28.26428571428571","-0.427973408","interacts with","Lactobacillus_reuteri (interacts with) Muribaculum_intestinale","false","interacts with","Lactobacillus_reuteri (interacts with) Muribaculum_intestinale"
"Lactobacillus_reuteri","18.862193362193366","-0.682065128","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_thetaiotaomicron"
"Lactobacillus_reuteri","25.22972582972583","-0.50809693","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_stercorirosoris","false","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_stercorirosoris"
"Lactobacillus_reuteri","31.067863509039977","0.413009452","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_faecichinchillae","false","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_faecichinchillae"
"Lactobacillus_reuteri","23.858225108225103","-0.750726661","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_caecimuris","false","interacts with","Lactobacillus_reuteri (interacts with) Bacteroides_caecimuris"
"Lactobacillus_reuteri","14.79503437738732","-0.478782086","interacts with","Lactobacillus_reuteri (interacts with) Alistipes_timonensis","false","interacts with","Lactobacillus_reuteri (interacts with) Alistipes_timonensis"
"Parabacteroides_johnsonii","13.867460317460315","0.563890801","interacts with","Parabacteroides_johnsonii (interacts with) Butyricimonas_virosa","false","interacts with","Parabacteroides_johnsonii (interacts with) Butyricimonas_virosa"
