row	col	val1
Bacteroides_thetaiotaomicron	Corynebacterium_stationis	NA
Bacteroides_uniformis	Corynebacterium_stationis	NA
Bacteroides_vulgatus	Corynebacterium_stationis	NA
Bacteroides_xylanisolvens	Corynebacterium_stationis	NA
Muribaculaceae_bacterium_DSM_103720	Corynebacterium_stationis	NA
Muribaculum_intestinale	Corynebacterium_stationis	NA
Butyricimonas_virosa	Corynebacterium_stationis	NA
Prevotella_sp_MGM2	Corynebacterium_stationis	NA
Alistipes_indistinctus	Corynebacterium_stationis	NA
Alistipes_shahii	Corynebacterium_stationis	NA
Alistipes_timonensis	Corynebacterium_stationis	NA
Parabacteroides_distasonis	Corynebacterium_stationis	NA
Parabacteroides_goldsteinii	Corynebacterium_stationis	NA
Parabacteroides_johnsonii	Corynebacterium_stationis	NA
Parabacteroides_merdae	Corynebacterium_stationis	NA
Mucispirillum_schaedleri	Corynebacterium_stationis	NA
Jeotgalicoccus_halotolerans	Corynebacterium_stationis	NA
Staphylococcus_aureus	Corynebacterium_stationis	NA
Staphylococcus_lentus	Corynebacterium_stationis	NA
Staphylococcus_nepalensis	Corynebacterium_stationis	NA
Staphylococcus_sciuri	Corynebacterium_stationis	NA
Staphylococcus_vitulinus	Corynebacterium_stationis	NA
Staphylococcus_xylosus	Corynebacterium_stationis	NA
Aerococcaceae_bacterium	Corynebacterium_stationis	NA
Enterococcus_faecalis	Corynebacterium_stationis	NA
Enterococcus_gallinarum	Corynebacterium_stationis	NA
Enterococcus_hirae	Corynebacterium_stationis	NA
Lactobacillus_intestinalis	Corynebacterium_stationis	NA
Lactobacillus_johnsonii	Corynebacterium_stationis	NA
Lactobacillus_murinus	Corynebacterium_stationis	NA
Lactobacillus_reuteri	Corynebacterium_stationis	NA
Lactobacillus_taiwanensis	Corynebacterium_stationis	NA
Streptococcus_acidominimus	Corynebacterium_stationis	NA
Clostridium_sp_ASF356	Corynebacterium_stationis	NA
Clostridium_sp_ASF502	Corynebacterium_stationis	NA
Eubacterium_plexicaudatum	Corynebacterium_stationis	NA
Eubacterium_sp_14_2	Corynebacterium_stationis	NA
Acetatifactor_muris	Corynebacterium_stationis	NA
Dorea_sp_5_2	Corynebacterium_stationis	NA
Clostridium_symbiosum	Corynebacterium_stationis	NA
Eubacterium_rectale	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_10_1	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_28_4	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_3_1	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_3_2	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_A2	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_A4	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_COE1	Corynebacterium_stationis	NA
Lachnospiraceae_bacterium_M18_1	Corynebacterium_stationis	NA
Oscillibacter_sp_1_3	Corynebacterium_stationis	NA
Romboutsia_ilealis	Corynebacterium_stationis	NA
Acutalibacter_muris	Corynebacterium_stationis	NA
Anaerotruncus_sp_G3_2012	Corynebacterium_stationis	NA
Ruthenibacterium_lactatiformans	Corynebacterium_stationis	NA
Clostridium_cocleatum	Corynebacterium_stationis	NA
Clostridium_innocuum	Corynebacterium_stationis	NA
Faecalibaculum_rodentium	Corynebacterium_stationis	NA
Ileibacterium_valens	Corynebacterium_stationis	NA
Firmicutes_bacterium_ASF500	Corynebacterium_stationis	NA
Parasutterella_excrementihominis	Corynebacterium_stationis	NA
Turicimonas_muris	Corynebacterium_stationis	NA
Desulfovibrionaceae_bacterium	Corynebacterium_stationis	NA
Helicobacter_apodemus	Corynebacterium_stationis	NA
Helicobacter_cinaedi	Corynebacterium_stationis	NA
Helicobacter_ganmani	Corynebacterium_stationis	NA
Helicobacter_hepaticus	Corynebacterium_stationis	NA
Helicobacter_magdeburgensis	Corynebacterium_stationis	NA
Helicobacter_typhlonius	Corynebacterium_stationis	NA
Enterobacter_cloacae_complex	Corynebacterium_stationis	NA
Escherichia_coli	Corynebacterium_stationis	NA
Proteus_hauseri	Corynebacterium_stationis	NA
Proteus_mirabilis	Corynebacterium_stationis	NA
Acinetobacter_baumannii	Corynebacterium_stationis	NA
Proteobacteria_bacterium_CAG_139	Corynebacterium_stationis	NA
Akkermansia_muciniphila	Corynebacterium_stationis	NA
Asaccharobacter_celatus	Adlercreutzia_equolifaciens	1.09e-13
Enterorhabdus_caecimuris	Adlercreutzia_equolifaciens	0.349592715
Bacteroides_caecimuris	Adlercreutzia_equolifaciens	0.188528845
Bacteroides_dorei	Adlercreutzia_equolifaciens	0.124090736
